文件名,文件路径,CRS,尺寸,分辨率,波段数,数据类型,nodata,有效像元数_band1,总像元数_band1,有效像元比例_band1,最小值_band1,P1_band1,中位数_band1,P99_band1,最大值_band1,状态,异常说明
ndvi_2015_epsg4326_250m.tif,data/processed/aligned/ndvi_2015_epsg4326_250m.tif,EPSG:4326,2005x988,0.00224578821;0.00224578821,1,float32,-9999.0,1538375,1980940,0.776588,-0.1437961459159851,0.11444102153182031,0.490898460149765,0.6235178023576736,0.7304201722145081,通过,
ndvi_2020_epsg4326_250m.tif,data/processed/aligned/ndvi_2020_epsg4326_250m.tif,EPSG:4326,2005x988,0.00224578821;0.00224578821,1,float32,-9999.0,1538375,1980940,0.776588,-0.1952892392873764,0.08110644951462746,0.506871908903122,0.6729368424415587,0.7583276629447937,通过,
ndvi_2025_epsg4326_250m.tif,data/processed/aligned/ndvi_2025_epsg4326_250m.tif,EPSG:4326,2005x988,0.00224578821;0.00224578821,1,float32,-9999.0,1538375,1980940,0.776588,-0.19628050923347473,0.07300852231681347,0.5060144066810608,0.6372150295972825,0.7339551448822021,通过,
ntl_2000_epsg4326_250m.tif,data/processed/aligned/ntl_2000_epsg4326_250m.tif,EPSG:4326,2005x988,0.00224578821;0.00224578821,1,float32,-9999.0,426728,1980940,0.215417,0.0,0.0,0.0,4.060990347862241,68.92967987060547,通过,
ntl_2005_epsg4326_250m.tif,data/processed/aligned/ntl_2005_epsg4326_250m.tif,EPSG:4326,2005x988,0.00224578821;0.00224578821,1,float32,-9999.0,426728,1980940,0.215417,0.0,0.0,0.0,11.581066627502373,67.7881088256836,通过,
ntl_2010_epsg4326_250m.tif,data/processed/aligned/ntl_2010_epsg4326_250m.tif,EPSG:4326,2005x988,0.00224578821;0.00224578821,1,float32,-9999.0,426728,1980940,0.215417,0.0,0.0,0.0,10.844527750015233,57.420902252197266,通过,
ntl_2015_epsg4326_250m.tif,data/processed/aligned/ntl_2015_epsg4326_250m.tif,EPSG:4326,2005x988,0.00224578821;0.00224578821,1,float32,-9999.0,420440,1980940,0.212243,0.0,0.0,0.0,18.96678256988525,94.63603210449219,通过,
ntl_2020_epsg4326_250m.tif,data/processed/aligned/ntl_2020_epsg4326_250m.tif,EPSG:4326,2005x988,0.00224578821;0.00224578821,1,float32,-9999.0,420440,1980940,0.212243,0.0,0.0,0.0,28.824243946075402,179.60499572753906,通过,
ntl_2024_epsg4326_250m.tif,data/processed/aligned/ntl_2024_epsg4326_250m.tif,EPSG:4326,2005x988,0.00224578821;0.00224578821,1,float32,-9999.0,420432,1980940,0.212239,0.0,0.0,1.0791981220245361,35.28122306823731,204.10000610351562,通过,
population_2000_epsg4326_250m.tif,data/processed/aligned/population_2000_epsg4326_250m.tif,EPSG:4326,2005x988,0.00224578821;0.00224578821,1,float32,-9999.0,426792,1980940,0.215449,0.0,18.917657337188718,245.19387817382812,3945.8296166992127,59591.0,通过,
population_2005_epsg4326_250m.tif,data/processed/aligned/population_2005_epsg4326_250m.tif,EPSG:4326,2005x988,0.00224578821;0.00224578821,1,float32,-9999.0,426792,1980940,0.215449,0.0,0.6095489859580994,269.45361328125,4053.383178710933,37802.0,通过,
population_2010_epsg4326_250m.tif,data/processed/aligned/population_2010_epsg4326_250m.tif,EPSG:4326,2005x988,0.00224578821;0.00224578821,1,float32,-9999.0,426792,1980940,0.215449,0.0,0.3948804205656051,263.0665740966797,4452.8756054687365,43098.0,通过,
population_2015_epsg4326_250m.tif,data/processed/aligned/population_2015_epsg4326_250m.tif,EPSG:4326,2005x988,0.00224578821;0.00224578821,1,float32,-9999.0,426792,1980940,0.215449,0.0,0.3076009875535964,287.40501403808594,4191.02228027343,51406.7890625,通过,
population_2020_epsg4326_250m.tif,data/processed/aligned/population_2020_epsg4326_250m.tif,EPSG:4326,2005x988,0.00224578821;0.00224578821,1,float32,-9999.0,426792,1980940,0.215449,0.0,3.046351437568664,349.98924255371094,3975.868510742184,32415.001953125,通过,
population_2024_epsg4326_250m.tif,data/processed/aligned/population_2024_epsg4326_250m.tif,EPSG:4326,2005x988,0.00224578821;0.00224578821,1,float32,-9999.0,426728,1980940,0.215417,0.0,12.927518072128297,393.4819793701172,3652.8644262695157,32312.806640625,通过,
terraclimate_2000_epsg4326_250m.tif,data/processed/aligned/terraclimate_2000_epsg4326_250m.tif,EPSG:4326,2005x988,0.00224578821;0.00224578821,11,float32;float32;float32;float32;float32;float32;float32;float32;float32;float32;float32,-9999.0,1593203,1980940,0.804266,619.2838134765625,632.5797174072266,708.2306823730469,832.8519940185547,880.1912231445312,通过,
terraclimate_2005_epsg4326_250m.tif,data/processed/aligned/terraclimate_2005_epsg4326_250m.tif,EPSG:4326,2005x988,0.00224578821;0.00224578821,11,float32;float32;float32;float32;float32;float32;float32;float32;float32;float32;float32,-9999.0,1593203,1980940,0.804266,608.514404296875,622.2481524658203,698.7383728027344,780.4968865966797,840.4003295898438,通过,
